fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
86,3307991994,Bursera ovalifolia,15.8992,-95.8728,5,1999,27.32917,10.925,76.39861,78.52208,34.3,20,14.3,27.71667,26.3,28.28333,26.3,1078,250,3,109.31015,615,12,346,12,134
87,3307932485,Bursera ovalifolia,16.881667,-92.915833,5,1984,21.5375,14.14167,67.98878,178.73451,31.7,10.9,20.8,22.38333,20.06667,23.58333,19.15,1191,242,10,94.90105,649,34,356,41,1155
88,3307904519,Bursera ovalifolia,19.505833,-105.051667,9,1982,25.3375,12.725,69.15761,219.15253,32.8,14.4,18.4,27.7,22.78333,27.71667,22.66667,909,248,2,110.4207,604,8,458,40,39
89,3307867154,Bursera ovalifolia,17.7,-101.525,6,1991,25.89583,10.39167,77.54974,73.62246,32.2,18.8,13.4,26.48333,25.16667,26.71667,24.91667,1164,322,2,116.64021,752,7,435,22,321
90,3307863141,Bursera ovalifolia,12.617,-85.85,5,1982,24.6625,9.25833,68.58025,98.00567,31.8,18.3,13.5,24.55,25.16667,25.96667,23.53333,1541,258,20,75.22708,698,68,190,174,444
91,3307785236,Bursera ovalifolia,16.397778,-95.345556,6,1984,25.63333,12.63333,77.98354,80.03786,33.7,17.5,16.2,26.03333,24.65,26.65,24.65,698,143,3,103.4138,416,13,205,13,755
92,3307783366,Bursera ovalifolia,16.35,-95.317,6,1987,27.45,11.83333,71.71717,120.1325,35.7,19.2,16.5,28.18333,25.83333,28.83333,25.83333,809,200,1,118.91428,503,4,246,4,90
93,3307778188,Bursera ovalifolia,16.380558,-95.323761,6,1986,26.80833,11.96667,72.96748,108.93771,35,18.6,16.4,27.45,25.8,28.1,25.36667,639,158,0,119.15289,401,2,198,2,314
94,3307776968,Bursera ovalifolia,16.35,-95.316667,9,1985,27.45,11.83333,71.71717,120.1325,35.7,19.2,16.5,28.18333,25.83333,28.83333,25.83333,809,200,1,118.91428,503,4,246,4,90
95,3307766576,Bursera ovalifolia,16.316667,-95.3,7,1986,27.59583,12.44167,74.501,103.73611,35.9,19.2,16.7,28.16667,26.61667,28.81667,26.23333,714,177,1,117.98647,439,5,222,5,225
96,3307748264,Bursera ovalifolia,17.6569,-101.5931,10,1978,27.29583,9.05833,76.12045,97.59514,32.5,20.6,11.9,28.26667,26.18333,28.4,26.05,1002,283,1,117.93961,654,3,545,19,19
97,3307676764,Bursera ovalifolia,15.698611,-92.091667,10,1974,24.2875,13.525,68.30807,149.01381,34.4,14.6,19.8,24.56667,23.4,26.15,22.43333,1457,301,9,94.96902,756,31,414,86,758
98,3306236472,Bursera ovalifolia,18.03703,-101.73211,11,2012,26.2,12.23333,78.92473,89.77245,33.5,18,15.5,26.93333,25.31667,27.21667,25.03333,884,231,1,115.43925,582,5,345,23,236
99,3059551620,Bursera ovalifolia,10.77778,-85.35278,4,1995,22.00833,8.78333,75.71839,69.37495,28.2,16.6,11.6,21.91667,21.8,22.93333,21.18333,2143,397,9,80.42657,1060,36,276,292,831
100,2629623124,Bursera ovalifolia,19.466667,-105.033333,9,1992,25.24583,12.925,69.86486,210.92287,32.7,14.2,18.5,27.51667,22.78333,27.55,22.66667,949,259,2,110.83788,631,8,479,40,84
101,2629500518,Bursera ovalifolia,15.972778,-96.115278,10,2005,22.30417,10.525,85.56911,45.55007,28.4,16.1,12.3,22.51667,21.78333,22.86667,21.78333,1530,317,10,96.58844,817,41,492,41,1378
102,2446661718,Bursera ovalifolia,13.49333,-88.49528,6,1999,19.0375,9.125,71.8504,79.91828,25.5,12.8,12.7,19.25,18.11667,20,18.05,2001,399,3,94.1494,1002,16,279,67,1398
103,2270509318,Bursera ovalifolia,19.033333,-100.05,5,1935,17.14167,14.18333,70.21452,136.49565,27.4,7.2,20.2,17.43333,16.06667,18.88333,15.41667,1205,243,8,99.86475,695,31,316,34,1945
104,2268877620,Bursera ovalifolia,16.590556,-94.880833,5,2014,26,9.2,60.92714,170.00003,33.9,18.8,15.1,26.96667,24.33333,27.83333,23.65,1009,251,6,107.78084,593,18,287,20,124
105,2268877616,Bursera ovalifolia,16.596389,-94.911389,6,2014,25.90417,9.475,62.74835,158.89471,33.8,18.7,15.1,26.75,24.38333,27.65,23.71667,985,244,7,105.38856,572,21,274,27,207
106,1930794440,Bursera ovalifolia,15.77347,-96.17406,5,2006,27.06667,9.78333,71.41119,96.1139,33.7,20,13.7,27.66667,25.73333,28.16667,25.73333,1205,269,4,105.47933,670,17,381,17,73
107,1930652906,Bursera ovalifolia,15.7739,-96.21589,5,2006,27.04583,9.875,71.04316,96.61214,33.7,19.8,13.9,27.65,25.71667,28.16667,25.71667,1211,269,4,105.24498,673,17,382,17,96
108,1930335030,Bursera ovalifolia,16.527222,-92.434722,6,1945,17.97917,13.54167,70.16408,152.3223,27.1,7.8,19.3,19.2,15.86667,19.51667,15.86667,1105,230,4,92.52476,553,22,390,22,1811
109,1930090833,Bursera ovalifolia,15.9128,-96.1497,5,1999,25.0625,10.74167,76.72619,88.96181,31.6,17.6,14,25.53333,23.81667,26.01667,23.81667,1246,276,2,105.82322,695,14,395,14,389
110,1930089372,Bursera ovalifolia,15.925,-95.9375,5,2006,26.45,11.06667,76.32183,80.70714,33.4,18.9,14.5,26.86667,25.41667,27.43333,25.41667,1121,255,3,107.66722,632,14,359,14,261
111,1930057950,Bursera ovalifolia,15.69911,-96.22797,7,2006,26.90833,9.53333,71.67919,98.8533,33.2,19.9,13.3,27.61667,25.5,27.95,25.5,1087,249,4,106.75128,619,15,355,15,35
112,1929979698,Bursera ovalifolia,15.74397,-96.17531,5,2006,27.02083,9.575,70.92593,97.52525,33.5,20,13.5,27.65,25.66667,28.11667,25.66667,1178,264,5,105.43994,658,18,374,18,62
113,1929775762,Bursera ovalifolia,15.74517,-96.1758,5,2006,27.02083,9.575,70.92593,97.52525,33.5,20,13.5,27.65,25.66667,28.11667,25.66667,1178,264,5,105.43994,658,18,374,18,62
114,1928517588,Bursera ovalifolia,18.886029,-100.246351,2,1935,22.04167,15.43333,64.30556,187.40854,34.6,10.6,24,21.86667,22.65,24.68333,19.98333,1271,267,6,108.69231,784,20,310,29,1247
115,1927810673,Bursera ovalifolia,15.76711,-96.19289,5,2006,27.00833,9.76667,71.28954,95.67542,33.6,19.9,13.7,27.6,25.7,28.11667,25.7,1225,273,5,105.717,682,17,387,17,105
116,1897568447,Bursera ovalifolia,16.611528,-94.958361,10,2002,26.32917,9.525,61.45161,164.7789,34.5,19,15.5,27.16667,24.81667,28.16667,24.08333,1001,249,5,109.31219,597,18,282,19,128
