species,decimalLongitude,decimalLatitude,gbifID,month,year,geometry,elev,bio_03,bio_04,bio_07,bio_08,bio_09,bio_11,bio_14,bio_16,bio_18,cluster
Icterus auratus,-90.03736,20.324217,5479517174,12,2021,"c(-90.03736, 20.324217)",28,67.857147216796875,193.98287963867188,20.299999237060547,27.5,26.049999237060547,23.683334350585938,20,538,276,3
Icterus auratus,-87.60888,21.3616,5477822969,11,2018,"c(-87.60888, 21.3616)",13,70.716949462890625,190.86473083496094,17.89999771118164,26.549999237060547,24.05000114440918,22.53333282470703,33,406,373,2
Icterus auratus,-89.46098,20.875195,5477160691,2,2022,"c(-89.46098, 20.875195)",17,66.41914367675781,203.46807861328125,20.200000762939453,27.100000381469727,25.416667938232422,23,23,481,240,3
Icterus auratus,-86.81187,21.025438,5471139558,3,2020,"c(-86.81187, 21.025438)",5,63.44444274902344,198.22317504882813,15.000001907348633,27.683334350585938,24.950000762939453,23.633333206176758,39,508,391,5
Icterus auratus,-89.735,20.989021,5469847883,4,2024,"c(-89.735, 20.989021)",10,66.35638427734375,195.0228271484375,18.80000114440918,27.233333587646484,25.58333396911621,23.28333282470703,21,452,219,3
Icterus auratus,-87.663605,20.594664,5464800708,1,2024,"c(-87.663605, 20.594664)",20,71.52381134033203,182.1837615966797,17.5,26.616666793823242,24.399999618530273,22.933332443237305,44,501,421,2
Icterus auratus,-89.97602,21.10288,5461654221,5,2024,"c(-89.97602, 21.10288)",4,67.34893035888672,189.98007202148438,17.099998474121094,27.616666793823242,25.566665649414063,23.5,14,317,238,3
Icterus auratus,-87.88788,18.771114,5459587072,1,2015,"c(-87.88788, 18.771114)",1,69.80769348144531,151.61441040039063,13,26.816665649414063,25.66666603088379,24.383333206176758,32,555,436,5
Icterus auratus,-90.194496,20.782654,5442323857,12,2024,"c(-90.194496, 20.782654)",5,70.67395782470703,172.18295288085938,18.299999237060547,27.733333587646484,26.19999885559082,24.16666603088379,12,400,306,3
Icterus auratus,-87.63576,20.875832,5434824716,3,2011,"c(-87.63576, 20.875832)",22,71.63978576660156,186.61404418945313,18.599998474121094,26.700000762939453,24.46666717529297,22.91666603088379,43,504,456,2
Icterus auratus,-89.397766,21.080505,5433874564,2,2024,"c(-89.397766, 21.080505)",10,67.10297393798828,200.24981689453125,19.099998474121094,27.21666717529297,25.383333206176758,23.08333396911621,21,407,312,3
Icterus auratus,-89.71183,20.594984,5430152920,5,2024,"c(-89.71183, 20.594984)",14,67.38094329833984,205.88319396972656,21.000001907348633,27.133333206176758,25.483333587646484,23.016666412353516,24,547,270,3
Icterus auratus,-87.87923,21.402071,5418632742,3,2019,"c(-87.87923, 21.402071)",9,70.51970672607422,187.2205352783203,18.60000228881836,26.71666717529297,24.69999885559082,22.96666717529297,31,357,293,3
Icterus auratus,-87.26365,21.012583,5417116023,6,2024,"c(-87.26365, 21.012583)",15,69.01341247558594,198.80462646484375,17.399999618530273,26.850000381469727,24.21666717529297,22.733333587646484,43,536,437,2
Icterus auratus,-87.47575,21.102451,5416574736,3,2017,"c(-87.47575, 21.102451)",13,70.04386901855469,194.0765838623047,18.999998092651367,26.58333396911621,24.100000381469727,22.549999237060547,43,544,455,2
Icterus auratus,-88.234215,21.413143,5411232215,1,2016,"c(-88.234215, 21.413143)",7,71.12932586669922,180.94447326660156,18.299999237060547,27.316665649414063,25.16666603088379,23.28333282470703,27,446,343,3
