species,decimalLongitude,decimalLatitude,gbifID,month,year,geometry,elev,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,-90.12222,19.984964,588678328,12,2010,"c(-90.12222, 19.984964)",55,26.237499237060547,13.175000190734863,65.547271728515625,204.5740966796875,36.29999923706055,16.200000762939453,20.099998474121094,27.46666717529297,25.950000762939453,28.433332443237305,23.450000762939453,1168,228,19,78.81947326660156,591,68,281,88
Icterus auratus,-89.81117,18.11714,588236233,4,2009,"c(-89.81117, 18.11714)",235,25.52083396911621,13.441667556762695,68.23180389404297,203.0501251220703,35.400001525878906,15.699999809265137,19.700000762939453,26.41666603088379,25.066665649414063,27.616666793823242,22.75,1227,232,29,64.206207275390625,560,91,388,144
Icterus auratus,-89.49188,18.827623,588192439,2,2009,"c(-89.49188, 18.827623)",285,24.59583282470703,13.058333396911621,69.09172058105469,192.08729553222656,34.099998474121094,15.199999809265137,18.89999771118164,25.483333587646484,24.25,26.5,21.950000762939453,969,173,18,62.229496002197266,419,73,328,113
Icterus auratus,-87.395619,20.458334,5844002991,4,2025,"c(-87.395619, 20.458334)",6,25.649999618530273,11.016666412353516,68.85416412353516,180.64280700683594,33,17,16,26.91666603088379,24.616666793823242,27.549999237060547,23.200000762939453,1269,198,41,50.80598449707031,526,140,401,203
Icterus auratus,-86.899729,20.850965,5837687439,9,2025,"c(-86.899729, 20.850965)",7,26.174999237060547,9.75,64.56954193115234,194.59161376953125,33.29999923706055,18.200000762939453,15.099998474121094,27.516666412353516,25,28.299999237060547,23.58333396911621,1269,195,40,48.70068359375,516,141,383,205
Icterus auratus,-87.420752,20.550122000000002,5759827636,11,2012,"c(-87.420752, 20.550122)",21,25.491666793823242,11.316666603088379,69.00406646728516,183.8827667236328,33,16.600000381469727,16.399999618530273,26.78333282470703,24.433332443237305,27.433332443237305,23.016666412353516,1258,196,44,52.249385833740234,531,140,413,182
Icterus auratus,-91.91162,18.051283,5716022486,11,2020,"c(-91.91162, 18.051283)",3,26.799999237060547,11.449999809265137,63.259666442871094,209.17588806152344,36.20000076293945,18.100000381469727,18.100000381469727,27.66666603088379,26.483333587646484,28.950000762939453,23.899999618530273,1779,295,41,59.47910690307617,795,155,349,260
Icterus auratus,-88.30664,21.008604,5716003049,1,2024,"c(-88.30664, 21.008604)",26,25.637500762939453,13.774999618530273,71.005157470703125,183.8245849609375,35.099998474121094,15.699999809265137,19.39999771118164,27.133333206176758,23.71666717529297,27.549999237060547,23.116666793823242,1352,214,36,60.78933334350586,599,131,485,156
Icterus auratus,-90.20475,18.158493,5715218616,5,2015,"c(-90.20475, 18.158493)",160,25.924999237060547,13.033332824707031,66.83760070800781,208.59376525878906,35.900001525878906,16.399999618530273,19.500001907348633,26.816665649414063,25.450000762939453,28.08333396911621,23.066667556762695,1247,242,29,65.96829986572266,576,91,303,136
Icterus auratus,-89.60715,20.62413,5714767852,5,2015,"c(-89.60715, 20.62413)",16,25.84166717529297,14.266666412353516,67.29560089111328,205.50196838378906,36.599998474121094,15.399999618530273,21.19999885559082,27.100000381469727,25.516666412353516,28.03333282470703,23.049999237060547,1088,190,24,72.55284881591797,538,85,265,94
