species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_03,bio_05,bio_06,bio_10,bio_13,bio_14,bio_17,bio_18,bio_19
Icterus auratus,-86.88237,21.06947,6,2016,5713902109,"c(-86.88237, 21.06947)",9,23.28333282470703,194,41,394,64.89583587646484,205.43560791015625,16,27.46666717529297,24.75
Icterus auratus,-90.37575,19.722431,6,2019,5710914126,"c(-90.37575, 19.722431)",20,23.58333396911621,244,19,274,64.46700286865234,210.53863525390625,19.700000762939453,27.71666717529297,26.049999237060547
Icterus auratus,-89.72453,20.116982,2,2019,5709242490,"c(-89.72453, 20.116982)",72,22.816665649414063,201,22,280,66.22807312011719,205.74095153808594,20.89999771118164,26.899999618530273,23.71666717529297
Icterus auratus,-89.552475,21.306982,12,2024,5708717064,"c(-89.552475, 21.306982)",2,23.299999237060547,131,20,217,65.75269317626953,188.31137084960938,15.499998092651367,27.08333396911621,25.16666603088379
Icterus auratus,-89.689766,20.982492,4,2017,5708514513,"c(-89.689766, 20.982492)",9,23.450000762939453,165,22,353,66.97368621826172,193.06687927246094,19,27.366666793823242,25.683334350585938
Icterus auratus,-89.30374,18.610947,2,1997,5706808477,"c(-89.30374, 18.610947)",247,22.049999237060547,174,20,342,70.78755187988281,181.0993194580078,18.19999885559082,25.516666412353516,24.200000762939453
Icterus auratus,-87.81492,19.72106,6,1991,5703634650,"c(-87.81492, 19.72106)",10,23.91666603088379,204,37,425,70.36458587646484,166.8213348388672,16,27.333332061767578,25.316665649414063
Icterus auratus,-90.05357,21.15745,11,2024,5696808053,"c(-90.05357, 21.15745)",2,23.600000381469727,115,11,206,67.6816177368164,184.3842315673828,15.60000228881836,27.75,25.366666793823242
Icterus auratus,-89.58721,20.381119,7,2024,5695866390,"c(-89.58721, 20.381119)",61,22.566667556762695,203,24,283,66.85779571533203,210.51300048828125,21.799999237060547,26.766666412353516,22.566667556762695
Icterus auratus,-88.30458,19.926323,3,2017,5695730285,"c(-88.30458, 19.926323)",28,23.433334350585938,196,34,384,70.8987808227539,180.11517333984375,19.099998474121094,26.950000762939453,25.116666793823242
Icterus auratus,-87.877495,21.402264,4,2017,5695730118,"c(-87.877495, 21.402264)",9,22.96666717529297,138,31,293,70.51970672607422,187.2205352783203,18.60000228881836,26.71666717529297,24.69999885559082
Icterus auratus,-89.77306,20.673498,4,2016,5693246233,"c(-89.77306, 20.673498)",15,23.266666412353516,187,24,263,67.64705657958984,196.3048858642578,20.400001525878906,27.183332443237305,25.616666793823242
Icterus auratus,-88.739876,21.305706,2,2024,5692010244,"c(-88.739876, 21.305706)",6,23.149999618530273,170,25,364,70.50263977050781,182.56329345703125,18.900001525878906,27.049999237060547,25.200000762939453
Icterus auratus,-90.22086,19.762177,4,2024,5691241691,"c(-90.22086, 19.762177)",17,23.633333206176758,239,20,275,64.3382339477539,212.70401000976563,20.399999618530273,27.75,26.149999618530273
Icterus auratus,-87.77248,19.921793,11,2024,5690107781,"c(-87.77248, 19.921793)",8,23.649999618530273,196,39,410,70.5521469116211,169.03245544433594,16.299999237060547,27.116666793823242,25.049999237060547
Icterus auratus,-88.33453,20.310635,10,2024,5689860221,"c(-88.33453, 20.310635)",32,23.316665649414063,201,34,400,70.85426330566406,182.9410400390625,19.900001525878906,27.299999237060547,23.883333206176758
Icterus auratus,-88.23345,19.001797,12,2016,5681672450,"c(-88.23345, 19.001797)",12,23.766666412353516,210,37,471,72.06195831298828,155.74539184570313,15.60000228881836,27.016666412353516,25.25
Icterus auratus,-87.58355,20.721111,11,2024,5680703233,"c(-87.58355, 20.721111)",26,22.91666603088379,192,44,438,71.32769012451172,184.63058471679688,17.69999885559082,26.66666603088379,24.433332443237305
Icterus auratus,-88.03,20.418648,5,2024,5678058876,"c(-88.03, 20.418648)",23,23.233333587646484,187,40,378,71.18055725097656,181.10768127441406,19.19999885559082,26.75,24.883333206176758
Icterus auratus,-90.51413,19.753605,9,2021,5676819867,"c(-90.51413, 19.753605)",13,23.733333587646484,236,17,262,64.71353912353516,207.83651733398438,19.19999885559082,27.816665649414063,26.183334350585938
Icterus auratus,-88.73353,19.793922,4,2014,5674640737,"c(-88.73353, 19.793922)",16,23.316667556762695,217,32,443,69.88094329833984,194.92568969726563,21.000001907348633,27.5,24.049999237060547
Icterus auratus,-87.63313,19.870532999999998,6,2015,5674252945,"c(-87.63313, 19.870533)",8,23.75,195,38,401,70.53377532958984,165.6547088623047,15.299999237060547,27.16666603088379,25.100000381469727
Icterus auratus,-87.33918,21.559175,1,2009,5663389650,"c(-87.33918, 21.559175)",1,22.933334350585938,172,29,368,68.01947784423828,188.1624755859375,15.399999618530273,26.983333587646484,24.100000381469727
Icterus auratus,-87.13098,21.227861,3,2001,5662723357,"c(-87.13098, 21.227861)",9,22.616666793823242,196,40,420,68.07170104980469,204.91082763671875,17.200000762939453,26.883333206176758,24.116666793823242
