species,month,year,gbifID,geometry,decimalLatitude,decimalLongitude,elev,ID,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,3,2010,979885759,"c(-87.29262, 20.426973)",20.426973,-87.29262,9,12,25.891666412353516,27.75,23.53333282470703,1262,211,36,56.01726531982422,544,130,404,176,10.216667175292969,67.6600341796875,175.32870483398438,32.900001525878906,17.799999237060547,15.10000228881836,27.08333396911621,24.916667938232422
Icterus auratus,10,2008,979718341,"c(-86.902725, 20.845016)",20.845016,-86.902725,9,13,26.149999618530273,28.28333282470703,23.549999237060547,1269,196,40,49.42748260498047,520,140,385,200,9.716666221618652,63.925437927246094,195.84312438964844,33.29999923706055,18.100000381469727,15.19999885559082,27.516666412353516,24.96666717529297
Icterus auratus,12,2013,979374132,"c(-87.38019, 20.354664)",20.354664,-87.38019,16,14,25.795833587646484,27.583332061767578,23.483333587646484,1232,205,37,54.41611099243164,521,130,389,181,10.475000381469727,68.91447448730469,170.39334106445313,32.79999923706055,17.600000381469727,15.19999885559082,26.96666717529297,24.833332061767578
Icterus auratus,1,2003,979008622,"c(-87.43462, 20.21604)",20.21604,-87.43462,4,15,25.95833396911621,27.616666793823242,23.766666412353516,1186,204,35,55.735965728759766,500,122,371,174,10.483333587646484,70.357940673828125,160.04025268554688,32.79999923706055,17.899999618530273,14.899999618530273,27.03333282470703,25.116666793823242
Icterus auratus,2,2013,978659548,"c(-87.6111, 20.078562)",20.078562,-87.6111,10,17,25.91666603088379,27.616666793823242,23.66666603088379,1209,187,38,52.158573150634766,501,130,388,183,10.933333396911621,70.99567413330078,165.64382934570313,33,17.600000381469727,15.399999618530273,27.066665649414063,25.016666412353516
Icterus auratus,4,2013,978570139,"c(-89.53102, 21.175447)",21.175447,-89.53102,7,18,25.887500762939453,27.883333206176758,23.149999618530273,807,145,21,62.70752716064453,349,72,267,105,11.941666603088379,65.97605895996094,196.80543518066406,34.79999923706055,16.700000762939453,18.099998474121094,27.266666412353516,25.383333206176758
Icterus auratus,4,1995,977818841,"c(-87.357834, 20.319376)",20.319376,-87.357834,2,19,25.954166412353516,27.700000762939453,23.700000762939453,1225,209,35,56.101402282714844,524,125,387,175,10.22499942779541,69.08783721923828,165.94711303710938,32.79999923706055,18,14.799999237060547,27.08333396911621,25.049999237060547
Icterus auratus,4,2011,977783677,"c(-89.77055, 20.359625)",20.359625,-89.77055,53,20,25.549999237060547,27.733333587646484,22.700000762939453,1105,202,22,73.394500732421875,540,80,284,82,14.133333206176758,66.66666412353516,208.40301513671875,36.20000076293945,15,21.200000762939453,26.866666793823242,23.566665649414063
Icterus auratus,12,2013,977760404,"c(-88.110695, 21.567417)",21.567417,-88.110695,7,21,25.70833396911621,27.450000762939453,23.25,754,126,18,53.7093391418457,308,75,265,120,11.416666984558105,71.35417175292969,176.0789337158203,33.20000076293945,17.200000762939453,16,26.933334350585938,24.866666793823242
Icterus auratus,11,2006,977661697,"c(-87.429146, 20.214533)",20.214533,-87.429146,4,22,25.97916603088379,27.633333206176758,23.78333282470703,1186,205,35,56.11110305786133,502,122,371,172,10.441666603088379,70.55180358886719,159.9781036376953,32.79999923706055,18,14.799999237060547,27.049999237060547,25.133333206176758
