species,decimalLongitude,decimalLatitude
Icterus auratus,-89.52083,21.07333
Icterus auratus,-90.78959,18.442036
Icterus auratus,-89.11039,21.156507
Icterus auratus,-87.61656,21.266535
Icterus auratus,-86.90759,21.049105
Icterus auratus,-87.16454,20.844936
Icterus auratus,-88.07833,19.875566
Icterus auratus,-87.72775,18.699478
Icterus auratus,-89.994446,20.897223
Icterus auratus,-89.07745,19.546585
Icterus auratus,-90.24578,20.488922
Icterus auratus,-88.37376,18.246223
Icterus auratus,-88.5127,18.322462
Icterus auratus,-87.10284,21.406637
Icterus auratus,-87.615326,20.077852
Icterus auratus,-88.53329,20.0372
Icterus auratus,-89.554634,18.616674
Icterus auratus,-86.890396,20.852797
Icterus auratus,-88.030043,20.541499
Icterus auratus,-90.100116,18.434014
Icterus auratus,-92.6313406,18.2798594
Icterus auratus,-88.79,21.198333
Icterus auratus,-88.938333,21.165
Icterus auratus,-89.683056,19.325278
Icterus auratus,-90.2304,19.597641
Icterus auratus,-89.34264,20.648642
Icterus auratus,-88.75407,21.347406
Icterus auratus,-89.46444,19.297104
Icterus auratus,-90.84364,17.885935
Icterus auratus,-90.944565,18.760956
Icterus auratus,-87.228806,20.514088
Icterus auratus,-87.87869,21.400175
Icterus auratus,-90.04755,21.163527
Icterus auratus,-89.32479,21.21246
Icterus auratus,-87.71442,20.82179
Icterus auratus,-88.81279,18.430832
Icterus auratus,-87.4681,19.97139
Icterus auratus,-87.845955,20.581902
Icterus auratus,-89.67097,18.037748
Icterus auratus,-89.78169,19.498882
Icterus auratus,-87.725555,20.416368
Icterus auratus,-89.43592,18.42417
Icterus auratus,-88.64044,20.50421
Icterus auratus,-88.91678,20.11683
Icterus auratus,-88.05508,19.156694
Icterus auratus,-87.68975,20.319553
Icterus auratus,-90.538995,19.631816
