species,decimalLatitude,decimalLongitude,month,year,gbifID
Icterus auratus,20.630651,-87.07017,2,2005,829374215
Icterus auratus,20.520761,-86.91685,2,2003,829256213
Icterus auratus,20.676765,-87.05108,4,2002,829177750
Icterus auratus,20.676765,-87.12798,4,2002,829170788
Icterus auratus,21.597607,-88.15794,3,2000,829116103
Icterus auratus,18.306322,-88.18945,11,1997,829101529
Icterus auratus,20.405777,-87.309044,12,1997,829100371
Icterus auratus,20.21068,-87.45231,9,1992,828976092
Icterus auratus,20.399555,-87.31943,3,1987,828959964
Icterus auratus,20.372526,-87.5434,4,1985,828905990
Icterus auratus,20.924763,-89.539545,11,1983,70243781
Icterus auratus,20.388948,-89.703438,7,1964,620831726
Icterus auratus,20.855556,-87.665,4,1949,620615135
Icterus auratus,21.19558,-89.640108,6,1961,620578382
Icterus auratus,21.147222,-89.651667,11,1963,620577239
Icterus auratus,19.508992,-88.035072,1,1965,620569178
Icterus auratus,21.097222,-86.816667,1,1965,620539425
Icterus auratus,21.586094,-88.15533,1,2011,590175018
Icterus auratus,20.489408,-87.72388,1,2011,590164906
Icterus auratus,21.033237,-86.87233,3,2011,590158779
Icterus auratus,20.632784,-87.07901,1,2011,590135108
Icterus auratus,20.165545,-87.7375,3,2011,590095524
Icterus auratus,18.71423,-87.70859,3,2011,590082782
Icterus auratus,18.506659,-88.32,3,2011,589997004
Icterus auratus,20.90714,-90.37878,12,2011,589970789
Icterus auratus,18.50008,-89.63749,12,2011,589954101
Icterus auratus,20.4902,-87.72684,1,2011,589916273
Icterus auratus,20.62185,-87.08681,3,2011,589890333
Icterus auratus,21.150824,-86.883446,10,2011,589821303
Icterus auratus,18.656654,-88.39874,1,2011,589797547
Icterus auratus,21.040928,-86.87233,6,2011,589091224
Icterus auratus,19.984964,-90.12222,12,2010,588678328
Icterus auratus,20.359997,-89.77109,12,2010,588665874
Icterus auratus,20.248186,-89.64758,8,2010,588662741
Icterus auratus,20.987085,-86.83113,12,2010,588592624
Icterus auratus,20.837936,-87.023636,6,2010,588575290
Icterus auratus,21.166485,-89.97803,12,2010,588521583
Icterus auratus,20.398312,-86.96194,1,2010,588515979
Icterus auratus,18.731615,-88.35274,9,2010,588301470
Icterus auratus,21.165203,-86.84006,1,2009,588244311
Icterus auratus,20.214523,-87.429886,12,2009,588242220
Icterus auratus,18.11714,-89.81117,4,2009,588236233
Icterus auratus,18.827623,-89.49188,2,2009,588192439
Icterus auratus,21.591043,-88.15086,4,2009,588191566
Icterus auratus,20.446316,-87.40585,11,2008,588156992
Icterus auratus,20.359594,-89.770836,6,2008,588089450
Icterus auratus,20.758682,-88.38982,12,2007,588050173
Icterus auratus,20.14836,-87.45838,12,2006,587975904
Icterus auratus,20.82103,-86.9089,11,2006,587971827
Icterus auratus,19.607904,-87.98521,11,2006,587967773
Icterus auratus,20.607508,-87.092766,1,2006,587967484
Icterus auratus,20.396719,-87.31341,3,2004,587818757
Icterus auratus,20.411665,-87.30422,3,2001,587682632
