species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,-88.78146,19.030615,1,2001,2798553183,"c(-88.78146, 19.030615)",68,25.366666793823242,26.883333206176758,23.049999237060547,964,149,17,58.66684341430664,403,73,332,115,12.666666030883789,72.79693603515625,164.25221252441406,33.79999923706055,16.399999618530273,17.399999618530273,26.399999618530273,24.883333206176758
Icterus auratus,-88.76465,21.005556,9,2019,2789677428,"c(-88.76465, 21.005556)",12,25.71666717529297,27.566665649414063,23.183334350585938,1213,198,30,64.29241180419922,559,106,432,142,13.533332824707031,70.12089538574219,182.2252960205078,35.29999923706055,16,19.299999237060547,27.016666412353516,25.266666412353516
Icterus auratus,-89.294136,19.781113,12,2019,2789077356,"c(-89.294136, 19.781113)",83,25.61250114440918,27.600000381469727,22.899999618530273,1050,190,25,66.047454833984375,466,81,375,88,14.658332824707031,69.14308166503906,197.669677734375,36.20000076293945,15,21.200000762939453,27,23.78333282470703
Icterus auratus,-90.1944,20.782185,9,2019,2779277047,"c(-90.1944, 20.782185)",5,26.566665649414063,28.316665649414063,24.16666603088379,804,143,12,76.49629211425781,400,44,306,74,12.933333396911621,70.67395782470703,172.18295288085938,35.599998474121094,17.299999237060547,18.299999237060547,27.733333587646484,26.19999885559082
Icterus auratus,-90.39783,20.852716,2,2019,2778643186,"c(-90.39783, 20.852716)",2,26.52916717529297,28.21666717529297,24.066667556762695,740,140,8,79.509185791015625,379,37,271,72,11.108333587646484,70.30591583251953,174.04881286621094,34.29999923706055,18.5,15.799999237060547,27.96666717529297,25.766666412353516
Icterus auratus,-89.85718,19.58308,1,2010,277491798,"c(-89.85718, 19.58308)",142,25.64583396911621,27.933332443237305,22.733333587646484,1135,219,22,74.1116943359375,544,78,289,84,13.375,64.92718505859375,214.2901153564453,36,15.399999618530273,20.600000381469727,26.96666717529297,23.649999618530273
Icterus auratus,-90.44117,20.202923,9,1995,277490555,"c(-90.44117, 20.202923)",5,26.616666793823242,28.55000114440918,23.950000762939453,1011,199,14,83.625640869140625,529,47,377,67,12.216666221618652,67.124542236328125,191.0537109375,35.70000076293945,17.5,18.200000762939453,27.96666717529297,26.03333282470703
Icterus auratus,-89.672455,21.28132,5,2019,2770196255,"c(-89.672455, 21.28132)",2,25.954166412353516,27.75,23.33333396911621,685,128,19,62.83252716064453,298,65,214,93,9.891666412353516,65.94444274902344,185.1591339111328,33.29999923706055,18.299999237060547,15,27.116666793823242,25.133333206176758
Icterus auratus,-89.642944,20.1707,12,2009,276539694,"c(-89.642944, 20.1707)",71,25.51249885559082,27.66666603088379,22.683332443237305,1083,202,22,71.77739715576172,521,83,283,88,14.058332443237305,66.6271743774414,206.31092834472656,36.099998474121094,15,21.099998474121094,26.816665649414063,23.583332061767578
Icterus auratus,-88.90137,20.853678,11,2009,276449763,"c(-88.90137, 20.853678)",15,25.774999618530273,27.766666412353516,23.116666793823242,1053,187,22,69.08851623535156,501,85,373,107,13.766666412353516,68.83333587646484,193.49066162109375,35.79999923706055,15.800000190734863,20,27.08333396911621,25.350000381469727
Icterus auratus,-88.15393,19.812735,5,2019,2763577032,"c(-88.15393, 19.812735)",21,25.96666717529297,27.733333587646484,23.58333396911621,1192,203,38,57.807830810546875,512,123,443,136,12.766666412353516,70.92591857910156,175.43882751464844,34.5,16.5,18,27.08333396911621,25.133333206176758
Icterus auratus,-90.71201,18.962265,4,2019,2752438967,"c(-90.71201, 18.962265)",20,26.3125,28.616666793823242,23.41666603088379,1330,253,19,83.21742248535156,699,68,280,96,12.458333015441895,64.55094909667969,212.77523803710938,36.29999923706055,17,19.299999237060547,27.58333396911621,25.916667938232422
Icterus auratus,-89.26287,20.591452,5,2019,2750880955,"c(-89.26287, 20.591452)",17,25.77916717529297,27.900001525878906,23,1085,187,26,68.4336166381836,516,91,277,99,14.174999237060547,67.49999237060547,203.62020874023438,36.400001525878906,15.399999618530273,21.000001907348633,27.08333396911621,23.849998474121094
Icterus auratus,-89.213806,19.8841,5,2019,2744976012,"c(-89.213806, 19.8841)",137,25.299999237060547,27.299999237060547,22.600000381469727,1096,196,25,65.22490692138672,489,86,391,95,14.733333587646484,69.17057800292969,196.66537475585938,36,14.699999809265137,21.299999237060547,26.683332443237305,23.433334350585938
Icterus auratus,-90.69647,19.664349,5,2019,2739032503,"c(-90.69647, 19.664349)",33,26.34583282470703,28.450000762939453,23.600000381469727,1181,228,15,87.15128326416016,639,50,254,79,11.558333396911621,64.57170104980469,199.6981658935547,35.5,17.600000381469727,17.899999618530273,27.600000381469727,25.850000381469727
Icterus auratus,-88.83263,20.550188,1,2019,2738247957,"c(-88.83263, 20.550188)",27,25.799999237060547,27.849998474121094,23.133333206176758,1151,200,29,65.3976058959961,531,97,407,113,14.249999046325684,69.17475891113281,195.61090087890625,36.099998474121094,15.5,20.599998474121094,27.16666603088379,23.899999618530273
Icterus auratus,-88.51248,18.3225,4,2019,2736519074,"c(-88.51248, 18.3225)",11,25.837499618530273,27.433332443237305,23.399999618530273,1300,211,26,62.881385803222656,536,90,536,167,10.791666984558105,69.17735290527344,172.47035217285156,33,17.399999618530273,15.600000381469727,27.433332443237305,25.200000762939453
Icterus auratus,-88.116234,20.700167,3,2019,2733356612,"c(-88.116234, 20.700167)",22,25.850000381469727,27.799999237060547,23.399999618530273,1144,184,36,61.10609436035156,505,115,404,117,14.050000190734863,71.319793701171875,182.58248901367188,35.400001525878906,15.699999809265137,19.700000762939453,27.383333206176758,23.933334350585938
Icterus auratus,-87.92615,20.099688,2,2019,2730816614,"c(-87.92615, 20.099688)",20,25.799999237060547,27.55000114440918,23.433334350585938,1180,193,39,55.03002166748047,502,128,422,148,12.75,71.22905731201172,174.12118530273438,34.099998474121094,16.200000762939453,17.89999771118164,26.900001525878906,24.983333587646484
Icterus auratus,-89.43369,18.410717000000002,4,2008,2729333381,"c(-89.43369, 18.410717)",273,24.862499237060547,26.766666412353516,22.266666412353516,1102,199,25,61.949954986572266,491,83,358,135,13.408333778381348,70.5701675415039,188.80154418945313,34.400001525878906,15.399999618530273,19.000001907348633,25.766666412353516,24.46666717529297
Icterus auratus,-87.66959,18.783665,1,1991,2722894064,"c(-87.66959, 18.783665)",1,26.60416603088379,28.083332061767578,24.516666412353516,1394,218,30,53.99610137939453,584,119,420,227,8.574999809265137,69.153228759765625,150.70225524902344,32.5,20.100000381469727,12.399999618530273,26.83333396911621,25.883333206176758
Icterus auratus,-90.1208,20.393688,7,2019,2720869217,"c(-90.1208, 20.393688)",8,26.516666412353516,28.46666717529297,23.983333587646484,1020,185,18,77.790924072265625,512,59,259,76,13.799999237060547,69.34672546386719,184.29635620117188,36.400001525878906,16.5,19.900001525878906,27.633333206176758,26.25
Icterus auratus,-89.28844,20.204992,12,2019,2717628751,"c(-89.28844, 20.204992)",33,25.808334350585938,27.899999618530273,23.016666412353516,1149,204,26,66.01042938232422,530,96,301,103,14.966666221618652,68.030303955078125,203.74708557128906,36.79999923706055,14.800000190734863,22,27.149999618530273,23.899999618530273
Icterus auratus,-88.40921,18.649689,11,2019,2716636230,"c(-88.40921, 18.649689)",14,25.795833587646484,27.383333206176758,23.483333587646484,1085,160,25,53.685813903808594,428,102,425,167,10.308333396911621,70.12471771240234,164.26779174804688,32.5,17.799999237060547,14.700000762939453,27.366666793823242,25.149999618530273
Icterus auratus,-87.22032,21.415016,7,2017,2714733016,"c(-87.22032, 21.415016)",0,25.40416717529297,27.433332443237305,22.766666412353516,1149,189,34,51.453819274902344,460,124,409,165,11.441666603088379,68.92570495605469,196.25418090820313,33.099998474121094,16.5,16.599998474121094,26.933332443237305,24.100000381469727
Icterus auratus,-86.73098,21.231533,7,2019,2692558791,"c(-86.73098, 21.231533)",5,26.045833587646484,28.100000381469727,23.600000381469727,1215,194,37,49.70945739746094,495,133,397,182,8.925000190734863,63.29787826538086,186.93043518066406,32.79999923706055,18.700000762939453,14.099998474121094,27.516666412353516,24.700000762939453
Icterus auratus,-88.93382,21.311451,6,2019,2685619654,"c(-88.93382, 21.311451)",6,25.691665649414063,27.516666412353516,23.100000381469727,850,147,19,63.397945404052734,373,74,297,117,13.416666030883789,70.24432373046875,184.6351776123047,35,15.899999618530273,19.100000381469727,27.03333282470703,25.200000762939453
Icterus auratus,-88.0551,20.834242,3,2019,2674278657,"c(-88.0551, 20.834242)",21,25.799999237060547,27.700000762939453,23.33333396911621,1160,179,39,58.22744369506836,502,122,409,129,14.016667366027832,71.880340576171875,181.52134704589844,35.20000076293945,15.699999809265137,19.5,27.33333396911621,23.899999618530273
Icterus auratus,-88.8619,21.046059,2,2019,2666816183,"c(-88.8619, 21.046059)",13,25.758333206176758,27.683332443237305,23.149999618530273,1108,190,26,67.7281723022461,524,92,398,120,13.666666030883789,69.37393951416016,188.18309020996094,35.5,15.800000190734863,19.700000762939453,27.03333282470703,25.350000381469727
Icterus auratus,-88.35891,18.005749,12,2017,2652533943,"c(-88.35891, 18.005749)",18,25.983333587646484,27.549999237060547,23.66666603088379,1575,245,40,54.37272262573242,606,127,568,245,9.183333396911621,67.03162384033203,166.24642944335938,32.20000076293945,18.5,13.700000762939453,27.133333206176758,25.299999237060547
Icterus auratus,-89.966667,19.716667,5,1952,2630678664,"c(-89.966667, 19.716667)",102,25.89583396911621,28.183334350585938,23.016666412353516,1144,219,22,77.26588439941406,567,71,283,83,13.22499942779541,64.51219177246094,212.1476593017578,36.20000076293945,15.699999809265137,20.5,27.16666603088379,23.933334350585938
Icterus auratus,-89.106667,21.011667,3,1890,2630635660,"c(-89.106667, 21.011667)",12,25.71666717529297,27.71666717529297,22.983333587646484,952,171,19,70.46593475341797,457,75,347,100,13.416666984558105,67.76094818115234,197.53402709960938,35.5,15.699999809265137,19.799999237060547,27.066665649414063,25.28333282470703
Icterus auratus,-88.773315,20.621794,3,1898,2630629202,"c(-88.773315, 20.621794)",28,25.77083396911621,27.75,23.16666603088379,1157,201,28,65.2516098022461,534,98,407,117,13.875,69.72361755371094,189.86192321777344,35.70000076293945,15.800000190734863,19.900001525878906,27.166667938232422,23.899999618530273
Icterus auratus,-88.25,19.716667,3,1953,2630547524,"c(-88.25, 19.716667)",26,25.95833396911621,27.69999885559082,23.583332061767578,1191,202,36,58.4853401184082,513,118,389,135,12.633333206176758,70.973785400390625,174.35377502441406,34.5,16.700000762939453,17.799999237060547,27.066665649414063,25.183334350585938
Icterus auratus,-86.93425,20.312914,11,2018,2233133131,"c(-86.93425, 20.312914)",5,26.370834350585938,28.299999237060547,24,1394,241,30,55.34785842895508,588,134,417,220,8.258333206176758,63.04071044921875,176.9239501953125,32.5,19.399999618530273,13.100000381469727,27.53333282470703,25.383333206176758
Icterus auratus,-89.48978,21.2318,5,2018,2232938019,"c(-89.48978, 21.2318)",8,25.887500762939453,27.866666793823242,23.149999618530273,771,140,21,62.0681037902832,328,72,253,102,11.675000190734863,66.335235595703125,195.84461975097656,34.599998474121094,17,17.599998474121094,26.816667556762695,25.350000381469727
Icterus auratus,-89.54444,20.251389,11,2018,2230261430,"c(-89.54444, 20.251389)",55,25.52916717529297,27.71666717529297,22.66666603088379,1093,203,22,71.02123260498047,524,84,287,85,14.574999809265137,66.85779571533203,209.28945922851563,36.5,14.699999809265137,21.799999237060547,26.849998474121094,23.566665649414063
Icterus auratus,-90.26044,20.853539,12,2018,2224124270,"c(-90.26044, 20.853539)",4,26.45833396911621,28.233333587646484,23.933334350585938,758,139,10,76.9693832397461,379,40,282,72,12.300000190734863,70.28571319580078,178.95953369140625,35,17.5,17.5,27.816665649414063,25.883333206176758
Icterus auratus,-88.754745,19.63478,8,2018,2224065445,"c(-88.754745, 19.63478)",54,25.704166412353516,27.649999618530273,23.049999237060547,1121,188,32,60.196388244628906,486,105,391,121,14.174999237060547,69.82758331298828,191.54229736328125,35.70000076293945,15.399999618530273,20.30000114440918,27.183332443237305,25.133333206176758
Icterus auratus,-88.63577,21.254343,11,2018,2223544536,"c(-88.63577, 21.254343)",7,25.712499618530273,27.566665649414063,23.233333587646484,1181,184,31,61.90705490112305,525,105,414,155,13.408332824707031,70.94355773925781,179.01400756835938,35,16.100000381469727,18.899999618530273,27.016666412353516,25.21666717529297
Icterus auratus,-89.71494,20.469255,11,2018,2222954500,"c(-89.71494, 20.469255)",73,25.512500762939453,27.733333587646484,22.616666793823242,1111,199,23,72.90419006347656,544,82,282,86,14.408333778381348,66.70524597167969,210.94081115722656,36.400001525878906,14.800000190734863,21.60000228881836,26.83333396911621,23.5
Icterus auratus,-89.045044,20.583284,11,2018,2220418437,"c(-89.045044, 20.583284)",22,25.79166603088379,27.850000381469727,23.08333396911621,1120,194,28,65.90496063232422,519,92,402,107,14.083333015441895,68.0354232788086,198.73272705078125,36.20000076293945,15.5,20.700000762939453,27.116666793823242,23.883333206176758
Icterus auratus,-88.379395,18.529161,9,2018,2211357316,"c(-88.379395, 18.529161)",4,26.0625,27.66666603088379,23.700000762939453,1182,183,24,58.31586837768555,470,94,470,170,9.791666030883789,68.47319793701172,167.41517639160156,32.5,18.200000762939453,14.299999237060547,27.66666603088379,25.41666603088379
Icterus auratus,-87.747734,19.789307,1,1999,2211143198,"c(-87.747734, 19.789307)",11,26.037500381469727,27.733333587646484,23.75,1268,200,39,50.98566818237305,518,134,415,190,11.141666412353516,70.51688385009766,167.11622619628906,33.29999923706055,17.5,15.799999237060547,27.183332443237305,25.166667938232422
Icterus auratus,-88.24477,18.30188,10,2018,2208268565,"c(-88.24477, 18.30188)",17,26.09166717529297,27.683334350585938,23.78333282470703,1366,223,26,57.50437927246094,540,103,501,211,8.633333206176758,66.4102554321289,165.4310302734375,32,19,13,27.25,25.383333206176758
Icterus auratus,-87.96115,17.923979,9,2018,2206905570,"c(-87.96115, 17.923979)",2,26.641666412353516,28.100000381469727,24.58333396911621,1478,215,39,49.28848648071289,586,128,449,270,6.700000286102295,62.03703308105469,149.17703247070313,31.700000762939453,20.899999618530273,10.80000114440918,26.899999618530273,25.933334350585938
Icterus auratus,-90.14028,18.60774,7,2018,2195436606,"c(-90.14028, 18.60774)",86,26.20833396911621,28.549999237060547,23.28333282470703,1134,234,22,72.88863372802734,551,79,263,101,13.483333587646484,65.77235412597656,217.53611755371094,36.70000076293945,16.200000762939453,20.5,26.96666717529297,25.883333206176758
Icterus auratus,-90.78959,18.442036,6,2018,2176007876,"c(-90.78959, 18.442036)",64,26.212499618530273,28.566667556762695,23.266666412353516,1330,236,22,75.59681701660156,648,79,306,111,12.591667175292969,63.91708755493164,216.63885498046875,36.5,16.799999237060547,19.700000762939453,27.483333587646484,25.83333396911621
Icterus auratus,-89.95346,20.5624,6,2018,2163111372,"c(-89.95346, 20.5624)",43,26.054166793823242,28.066665649414063,23.433334350585938,1066,182,21,74.65703582763672,526,69,277,86,13.858333587646484,68.946929931640625,190.69796752929688,36.20000076293945,16.100000381469727,20.100000381469727,27.233333587646484,25.75
Icterus auratus,-89.94664,21.197931,10,2015,2159400622,"c(-89.94664, 21.197931)",1,26.079166412353516,27.916667938232422,23.433332443237305,637,120,14,66.74327087402344,285,50,211,81,10.358332633972168,66.82795715332031,187.07630920410156,33.70000076293945,18.200000762939453,15.5,27.21666717529297,25.28333282470703
Icterus auratus,-87.61656,21.266535,2,2018,2149928909,"c(-87.61656, 21.266535)",16,25.179166793823242,27.066665649414063,22.583332061767578,1107,173,37,53.02547073364258,448,120,414,148,13.175000190734863,70.83332824707031,190.12506103515625,34,15.399999618530273,18.600000381469727,26.53333282470703,24.133333206176758
Icterus auratus,-89.135574,21.14144,5,2018,2145834243,"c(-89.135574, 21.14144)",9,25.704166412353516,27.71666717529297,22.933332443237305,894,161,19,67.54966735839844,416,76,318,104,13.125,67.6546401977539,199.56158447265625,35.20000076293945,15.800000190734863,19.400001525878906,27.116666793823242,25.233333587646484
Icterus auratus,-89.79083,20.877726,3,2018,2139646114,"c(-89.79083, 20.877726)",11,26.016666412353516,28.03333282470703,23.350000381469727,993,175,23,72.558807373046875,488,69,235,91,13.033333778381348,67.53022003173828,194.51962280273438,35.70000076293945,16.399999618530273,19.30000114440918,27.266666412353516,25.649999618530273
Icterus auratus,-88.07833,19.875566,2,2018,2138156207,"c(-88.07833, 19.875566)",6,26.037500381469727,27.766666412353516,23.700000762939453,1194,201,38,56.68943405151367,510,123,437,143,12.458333015441895,71.19047546386719,171.47918701171875,34.29999923706055,16.799999237060547,17.5,27.16666603088379,25.200000762939453
Icterus auratus,-88.505005,20.572542,1,2018,2129319484,"c(-88.505005, 20.572542)",29,25.858333587646484,27.833332061767578,23.299999237060547,1204,208,31,64.80908203125,551,106,426,118,14.216666221618652,70.3795394897461,187.17800903320313,35.79999923706055,15.600000381469727,20.19999885559082,27.28333282470703,23.96666717529297
Icterus auratus,-88.26059,18.088333,2,2018,2127182123,"c(-88.26059, 18.088333)",17,26.045833587646484,27.600000381469727,23.75,1509,237,35,54.00018310546875,581,119,529,246,8.641666412353516,66.47435760498047,164.5304412841797,31.899999618530273,18.899999618530273,13,27.21666717529297,25.350000381469727
Icterus auratus,-89.07745,19.546585,3,2018,2122829008,"c(-89.07745, 19.546585)",93,25.516666412353516,27.433332443237305,22.866666793823242,1017,173,23,62.755706787109375,444,81,361,104,14.133333206176758,69.6223373413086,191.57638549804688,35.599998474121094,15.300000190734863,20.299999237060547,26.950000762939453,23.683334350585938
Icterus auratus,-90.24578,20.488922,12,2017,2119243094,"c(-90.24578, 20.488922)",4,26.84166717529297,28.649999618530273,24.483333587646484,918,164,14,78.138397216796875,460,47,226,75,13.59999942779541,70.83332824707031,172.12351989746094,36.400001525878906,17.200000762939453,19.200000762939453,27.899999618530273,26.616666793823242
Icterus auratus,-87.011826,20.86028,12,2017,2116183455,"c(-87.011826, 20.86028)",13,25.8125,27.983333587646484,23.149999618530273,1302,199,43,47.839332580566406,527,150,401,214,10.241666793823242,64.412994384765625,200.04689025878906,33.20000076293945,17.299999237060547,15.900001525878906,27.21666717529297,24.600000381469727
Icterus auratus,-87.366585,20.32,7,2017,2114937159,"c(-87.366585, 20.32)",9,25.912500381469727,27.649999618530273,23.66666603088379,1222,208,35,56.003990173339844,522,125,387,174,10.291666030883789,69.07158660888672,165.43502807617188,32.79999923706055,17.899999618530273,14.899999618530273,27.03333282470703,25.016666412353516
Icterus auratus,-88.37376,18.246223,11,2017,2108223944,"c(-88.37376, 18.246223)",13,26.058332443237305,27.616666793823242,23.700000762939453,1368,227,27,60.70219802856445,541,98,481,193,9.899999618530273,68.27586364746094,167.01702880859375,32.599998474121094,18.100000381469727,14.499998092651367,27.549999237060547,25.399999618530273
Icterus auratus,-88.33991,20.162416,3,2017,2075642004,"c(-88.33991, 20.162416)",31,25.84166717529297,27.75,23.350000381469727,1187,197,32,59.22929763793945,514,114,388,127,14.016666412353516,70.43550872802734,182.39358520507813,35.5,15.600000381469727,19.899999618530273,26.816665649414063,23.91666603088379
